Network Tariff,Peak,Peak 2,Shoulder,Off Peak,CL1,CL2,CL3,Daily supply charge,Demand 1,Demand 2,Discount,State,Solar Rate
EA225EA030EA040,67.001,31.504,31.504,30.195,25.157,28.072,0,253.308,0,0,11%,NSW,-3.3
EA256,26.312,26.312,26.312,26.312,0,0,0,264.495,52.192,52.192,11%,NSW,-3.3
EA116,27.071,0,27.071,27.071,0,0,0,95.326,44.46,44.46,11%,NSW,-3.3
EA251,36.652,36.652,36.652,36.652,0,0,0,227.282,1.609,1.609,11%,NSW,-3.3
EA255,36.652,36.652,36.652,36.652,0,0,0,227.282,1.609,1.609,11%,NSW,-3.3
EA116EA030,27.071,0,27.071,27.071,25.157,0,0,99.803,44.46,44.46,11%,NSW,-3.3
EA010,36.718,0,0,0,0,0,0,83.171,0,0,11%,NSW,-3.3
EA010EA030,36.718,0,0,0,25.157,0,0,87.648,0,0,11%,NSW,-3.3
EA010EA040,36.718,0,0,0,0,28.072,0,91.872,0,0,11%,NSW,-3.3
EA025,58.597,0,29.161,28.655,0,0,0,95.161,0,0,11%,NSW,-3.3
EA025EA030,58.597,0,29.161,28.655,25.157,0,0,99.638,0,0,11%,NSW,-3.3
EA025EA040,58.597,0,29.161,28.655,0,28.072,0,103.873,0,0,11%,NSW,-3.3
EA050,34.98,0,0,0,0,0,0,241.494,0,0,11%,NSW,-3.3
EA050EA030,34.98,0,0,0,25.157,0,0,245.971,0,0,11%,NSW,-3.3
EA050EA040,34.98,0,0,0,0,28.072,0,250.195,0,0,11%,NSW,-3.3
EA051,67.034,67.034,30.184,30.184,0,0,0,218.35,0,0,11%,NSW,-3.3
EA225,67.001,31.504,31.504,30.195,0,0,0,244.607,0,0,11%,NSW,-3.3
EA225EA030,67.001,31.504,31.504,30.195,25.157,0,0,249.084,0,0,11%,NSW,-3.3
EA225EA040,67.001,31.504,31.504,30.195,0,28.072,0,253.308,0,0,11%,NSW,-3.3
EA302,32.593,32.593,26.345,25.245,0,0,0,695.09,52.364,0,11%,NSW,-3.3
EA302EA030,32.593,32.593,26.345,25.245,25.157,0,0,699.567,52.364,0,11%,NSW,-3.3
EA302EA040,32.593,32.593,26.345,25.245,0,28.072,0,703.802,52.364,0,11%,NSW,-3.3
EA305,33.33,0,26.345,25.465,0,0,0,"2,602.88",61.675,0,11%,NSW,-3.3
EA310,30.789,0,25.96,25.355,0,0,0,"5,150.34",63.905,0,11%,NSW,-3.3
EA316,32.593,32.593,26.345,25.245,0,0,0,695.09,52.364,0,11%,NSW,-3.3
EA316EA030,32.593,32.593,26.345,25.245,25.157,0,0,699.567,52.364,0,11%,NSW,-3.3
EA316EA040,32.593,32.593,26.345,25.245,0,28.072,0,703.802,52.364,0,11%,NSW,-3.3
EA116EA040,27.071,0,27.071,27.071,0,28.072,0,104.038,44.46,44.46,11%,NSW,-3.3
EA256EA030,26.312,26.312,26.312,26.312,25.157,0,0,268.972,52.192,52.192,11%,NSW,-3.3
BLND1SU,53.79,0,45.94,35.2,0,0,0,"1,209.80",59.08,22,11%,NSW,-3.3
BLNT2ALBLNC1AU,49.62,49.62,42.43,33.44,25.62,0,0,275.9,0,0,11%,NSW,-3.3
BLNT2ALBLNC2AU,49.62,49.62,42.43,33.44,0,29.62,0,275.9,0,0,11%,NSW,-3.3
BLNT3ALBLNC2AU,46.96,46.96,40.19,29.78,0,29.62,0,180.13,0,0,11%,NSW,-3.3
BLND1AB,40.38,40.38,35.26,30.27,0,0,0,275.76,36.09,0,11%,NSW,-3.3
BLND3AO,30.99,30.99,30.28,29.43,0,0,0,"2,380.74",44.78,39.93,11%,NSW,-3.3
BLNDTRS,30.99,30.99,30.27,29.43,0,0,0,"2,380.74",44.78,39.93,11%,NSW,-3.3
BLNN1AU,47.07,0,0,0,0,0,0,270.4,0,0,11%,NSW,-3.3
BLNN1AUBLNC1AU,47.07,0,0,0,25.62,0,0,275.9,0,0,11%,NSW,-3.3
BLNN1AUBLNC2AU,47.07,0,0,0,0,29.62,0,275.9,0,0,11%,NSW,-3.3
BLNN2AU,40.65,0,0,0,0,0,0,179.99,0,0,11%,NSW,-3.3
BLNN2AUBLNC1AU,40.65,0,0,0,25.62,0,0,180.13,0,0,11%,NSW,-3.3
BLNN2AUBLNC2AU,40.65,0,0,0,0,29.62,0,180.13,0,0,11%,NSW,-3.3
BLNT2AL,49.62,49.62,42.43,33.44,0,0,0,275.76,0,0,11%,NSW,-3.3
BLNT2AU,49.17,49.17,43.48,33.95,0,0,0,275.76,0,0,11%,NSW,-3.3
BLNT2AUBLNC1AU,49.17,49.17,43.48,33.95,25.62,0,0,275.9,0,0,11%,NSW,-3.3
BLNT2AUBLNC2AU,49.17,49.17,43.48,33.95,0,29.62,0,275.9,0,0,11%,NSW,-3.3
BLNT3AL,46.96,46.96,40.19,29.78,0,0,0,179.99,0,0,11%,NSW,-3.3
BLNT3ALBLNC1AU,46.96,46.96,40.19,29.78,25.62,0,0,180.13,0,0,11%,NSW,-3.3
BLNT3AU,46.53,0,41.17,29.88,0,0,0,179.99,0,0,11%,NSW,-3.3
BLNT3AUBLNC1AU,46.53,0,41.17,29.88,25.62,0,0,180.13,0,0,11%,NSW,-3.3
BLNT3AUBLNC2AU,46.53,0,41.17,29.88,0,29.62,0,180.13,0,0,11%,NSW,-3.3
N70,36.59,0,0,0,0,0,0,95.43,0,0,11%,NSW,-3.3
N705,44.28,0,37.4,36.3,0,0,0,95.43,0,0,11%,NSW,-3.3
N705N50,44.28,0,37.4,36.3,27.1,0,0,107.57,0,0,11%,NSW,-3.3
N705N54,44.28,0,37.4,36.3,0,29.88,0,107.57,0,0,11%,NSW,-3.3
N70N50,36.59,0,0,0,27.1,0,0,107.57,0,0,11%,NSW,-3.3
N70N54,36.59,0,0,0,0,29.88,0,107.57,0,0,11%,NSW,-3.3
N84,29.38,29.38,26.14,26.14,0,0,0,124.58,0,0,11%,NSW,-3.3
N90,36.2,38.97,0,0,0,0,0,124.58,0,0,11%,NSW,-3.3
N90N50,36.2,38.97,0,0,27.1,0,0,136.71,0,0,11%,NSW,-3.3
N90N50N54,36.2,38.97,0,0,27.1,29.88,0,136.71,0,0,11%,NSW,-3.3
N90N54,36.2,38.97,0,0,0,29.88,0,136.71,0,0,11%,NSW,-3.3
NS70,36.59,0,0,0,0,0,0,95.43,0,0,11%,NSW,-3.3
NS90,36.2,38.97,0,0,0,0,0,124.58,0,0,11%,NSW,-3.3
N70N50N54,36.59,0,0,0,27.1,29.88,0,107.57,0,0,11%,NSW,-3.3
N93,36.43,0,0,0,0,0,0,124.58,21.96,11.02,11%,NSW,-3.3
NS90N54,36.2,38.97,0,0,0,29.88,0,136.71,0,0,11%,NSW,-3.3
N92,35.83,0,0,0,0,0,0,124.58,27.44,13.78,11%,NSW,-3.3
N93N54,36.43,0,0,0,0,29.88,0,136.71,21.96,11.02,11%,NSW,-3.3
N29,26.95,26.95,26.21,26.21,0,0,0,"8,214.36",46.21,45.59,11%,NSW,-3.3
N73,34.96,0,0,0,0,0,0,95.43,16.48,8.52,11%,NSW,-3.3
N73N50,34.96,0,0,0,27.1,0,0,107.57,16.48,8.52,11%,NSW,-3.3
NC01,36.59,0,0,0,27.1,0,0,95.43,0,0,11%,NSW,-3.3
N19,30.8,0,28.71,28.71,0,0,0,"2,983.30",57.08,51.74,11%,NSW,-3.3
N91,47.6,47.6,36.52,36.52,0,0,0,124.58,0,0,11%,NSW,-3.3
A200,33.66,33.66,0,0,0,0,0,132.33,0,0,8%,VIC,-1
A200A180,33.66,33.66,0,0,22.22,0,0,132.33,0,0,8%,VIC,-1
A210,38.61,38.61,21.34,21.34,0,0,0,164.34,0,0,8%,VIC,-1
A300,22.88,22.88,18.37,18.37,0,0,0,"1,224.63",31.13,0,8%,VIC,-1
A210A180,38.61,38.61,21.34,21.34,22.22,0,0,164.34,0,0,8%,VIC,-1
A100,29.26,29.26,0,0,0,0,0,112.86,0,0,8%,VIC,-1
A230,29.59,29.59,21.12,21.12,0,0,0,355.08,24.97,0,8%,VIC,-1
A140,39.49,39.49,28.27,28.27,0,0,0,76.01,0,0,8%,VIC,-1
A270,30.69,30.69,21.56,21.56,0,0,0,355.08,24.97,0,8%,VIC,-1
