Network Tariff,NTC2,Daily supply charge,Peak,Peak 2,Shoulder,Off Peak,CL1,Demand - All (c/kW/day),Demand 1,Demand 2,Solar,DMO 7 Reference Price($/year),Percentage difference from DMO 7 Reference Price,Lowest Annual Amount - Estimated value($/year)
EA050,-,267.13,29.38,,,,,,,,0,4977,21%,"$3,913.50"
EA010,-,267.13,29.38,,,,,,,,0,4977,21%,"$3,913.50"
EA050EA030,EA030,267.13,29.38,,,,22.04,,,,0,N/A,N/A,"$4,354.37"
EA010EA030,EA030,267.13,29.38,,,,22.04,,,,0,N/A,N/A,"$4,354.37"
EA050EA040,EA040,267.13,29.38,,,,24.9,,,,0,N/A,N/A,"$4,411.42"
EA010EA040,EA040,267.13,29.38,,,,24.9,,,,0,N/A,N/A,"$4,411.42"
EA225,-,276.57,55.85,55.85,19.92,19.92,,,,,0,4977,30%,"$3,491.90"
EA025,-,276.57,55.85,55.85,19.92,19.92,,,,,0,4977,30%,"$3,491.90"
EA225EA030,EA030,276.57,55.85,55.85,19.92,19.92,22.04,,,,0,N/A,N/A,"$3,932.77"
EA025EA030,EA030,276.57,55.85,55.85,19.92,19.92,22.04,,,,0,N/A,N/A,"$3,932.77"
EA225EA040,EA040,276.57,55.85,55.85,19.92,19.92,24.9,,,,0,N/A,N/A,"$3,989.82"
EA025EA040,EA040,276.57,55.85,55.85,19.92,19.92,24.9,,,,0,N/A,N/A,"$3,989.82"
EA251,-,292.7,17.62,,,,,,51.67,51.67,0,N/A,N/A,"$2,902.76"
EA256,-,292.7,17.62,,,,,,51.67,51.67,0,N/A,N/A,"$2,902.76"
EA256EA030,EA030,292.7,17.62,,,,22.04,,51.67,51.67,0,N/A,N/A,"$3,343.64"
EA251EA030,EA030,292.7,17.62,,,,22.04,,51.67,51.67,0,N/A,N/A,"$3,343.64"
EA251EA040,EA040,292.7,17.62,,,,24.9,,51.67,51.67,0,N/A,N/A,"$3,400.68"
EA256EA040,EA040,292.7,17.62,,,,24.9,,51.67,51.67,0,N/A,N/A,"$3,400.68"
EA255,-,690.79,24.75,24.75,15.2,15.2,,45.74,45.74,,0,N/A,N/A,"$4,300.88"
EA302,-,690.79,24.75,24.75,15.2,15.2,,45.74,45.74,,0,N/A,N/A,"$4,300.88"
EA316,-,690.79,24.75,24.75,15.2,15.2,,45.74,45.74,,0,N/A,N/A,"$4,300.88"
EA255EA030,EA030,690.79,24.75,24.75,15.2,15.2,22.04,45.74,45.74,,0,N/A,N/A,"$4,741.76"
EA302EA030,EA030,690.79,24.75,24.75,15.2,15.2,22.04,45.74,45.74,,0,N/A,N/A,"$4,741.76"
EA316EA030,EA030,690.79,24.75,24.75,15.2,15.2,22.04,45.74,45.74,,0,N/A,N/A,"$4,741.76"
EA255EA040,EA040,690.79,24.75,24.75,15.2,15.2,24.9,45.74,45.74,,0,N/A,N/A,"$4,798.80"
EA302EA040,EA040,690.79,24.75,24.75,15.2,15.2,24.9,45.74,45.74,,0,N/A,N/A,"$4,798.80"
EA316EA040,EA040,690.79,24.75,24.75,15.2,15.2,24.9,45.74,45.74,,0,N/A,N/A,"$4,798.80"
N90,-,145.91,30.82,,,,,,,,0,4775,24%,"$3,614.51"
N70,-,145.91,30.82,,,,,,,,0,4775,24%,"$3,614.51"
N70N50,N50,145.91,30.82,,,,25.41,,,,0,N/A,N/A,"$4,173.43"
N90N50,N50,145.91,30.82,,,,25.41,,,,0,N/A,N/A,"$4,173.43"
N70N54,N54,145.91,30.82,,,,28.58,,,,0,N/A,N/A,"$4,243.34"
N90N54,N54,145.91,30.82,,,,28.58,,,,0,N/A,N/A,"$4,243.34"
N91,-,145.91,45.1,45.1,12.79,28.73,,,,,0,4775,33%,"$3,222.70"
N71,-,145.91,45.1,45.1,12.79,28.73,,,,,0,4775,33%,"$3,222.70"
N91N50,N50,145.91,45.1,45.1,12.79,28.73,25.41,,,,0,N/A,N/A,"$3,781.62"
N71N50,N50,145.91,45.1,45.1,12.79,28.73,25.41,,,,0,N/A,N/A,"$3,781.62"
N91N54,N54,145.91,45.1,45.1,12.79,28.73,28.58,,,,0,N/A,N/A,"$3,851.53"
N71N54,N54,145.91,45.1,45.1,12.79,28.73,28.58,,,,0,N/A,N/A,"$3,851.53"
N92,-,144.33,17.96,,,,,,27.28,13.7,0,N/A,N/A,"$2,380.62"
N92N50,N50,144.33,17.96,,,,25.41,,27.28,13.7,0,N/A,N/A,"$2,939.54"
N92N54,N54,144.33,17.96,,,,28.58,,27.28,13.7,0,N/A,N/A,"$3,009.45"
N93,-,144.64,18,,,,,,21.83,10.95,0,N/A,N/A,"$2,374.07"
N93N50,N50,144.64,18,,,,25.41,,21.83,10.95,0,N/A,N/A,"$2,932.99"
N93N54,N54,144.64,18,,,,28.58,,21.83,10.95,0,N/A,N/A,"$3,002.90"
BLNN1AU,-,295.7,38.83,,,,,,,,0,6222,20%,"$4,961.94"
BLNN2AU,-,295.7,38.83,,,,,,,,0,6222,20%,"$4,961.94"
BLNBSS1,-,295.7,38.83,,,,,,,,0,6222,20%,"$4,961.94"
BLNN1AUBLNC1AU,BLNC1AU,295.7,38.83,,,,22.42,,,,0,N/A,N/A,"$5,410.43"
BLNN2AUBLNC1AU,BLNC1AU,295.7,38.83,,,,22.42,,,,0,N/A,N/A,"$5,410.43"
BLNBSS1BLNC1AU,BLNC1AU,295.7,38.83,,,,22.42,,,,0,N/A,N/A,"$5,410.43"
BLNN1AUBLNC2AU,BLNC2AU,295.7,38.83,,,,26.35,,,,0,N/A,N/A,"$5,488.85"
BLNN2AUBLNC2AU,BLNC2AU,295.7,38.83,,,,26.35,,,,0,N/A,N/A,"$5,488.85"
BLNBSS1BLNC2AU,BLNC2AU,295.7,38.83,,,,26.35,,,,0,N/A,N/A,"$5,488.85"
BLNT2AL,-,295.7,44.18,44.18,28.39,24.04,,,,,0,6222,38%,"$3,860.47"
BLNT2AU,-,295.7,44.18,44.18,28.39,24.04,,,,,0,6222,38%,"$3,860.47"
BLNT1A0,-,295.7,44.18,44.18,28.39,24.04,,,,,0,6222,38%,"$3,860.47"
BLNT3AL,-,295.7,44.18,44.18,28.39,24.04,,,,,0,6222,38%,"$3,860.47"
BLNT2ALBLNC1AU,BLNC1AU,295.7,44.18,44.18,28.39,24.04,22.42,,,,0,N/A,N/A,"$4,308.97"
BLNT2AUBLNC1AU,BLNC1AU,295.7,44.18,44.18,28.39,24.04,22.42,,,,0,N/A,N/A,"$4,308.97"
BLNT1A0BLNC1AU,BLNC1AU,295.7,44.18,44.18,28.39,24.04,22.42,,,,0,N/A,N/A,"$4,308.97"
BLNT3ALBLNC1AU,BLNC1AU,295.7,44.18,44.18,28.39,24.04,22.42,,,,0,N/A,N/A,"$4,308.97"
BLNT2ALBLNC2AU,BLNC2AU,295.7,44.18,44.18,28.39,24.04,26.35,,,,0,N/A,N/A,"$4,387.39"
BLNT2AUBLNC2AU,BLNC2AU,295.7,44.18,44.18,28.39,24.04,26.35,,,,0,N/A,N/A,"$4,387.39"
BLNT1A0BLNC2AU,BLNC2AU,295.7,44.18,44.18,28.39,24.04,26.35,,,,0,N/A,N/A,"$4,387.39"
BLNT3ALBLNC2AU,BLNC2AU,295.7,44.18,44.18,28.39,24.04,26.35,,,,0,N/A,N/A,"$4,387.39"
BLND1AB,-,293.81,35.82,35.82,21.94,21.12,,10.67,10.67,,0,N/A,N/A,"$3,384.56"
BLND1ABBLNC1AU,BLNC1AU,293.81,35.82,35.82,21.94,21.12,22.42,10.67,10.67,,0,N/A,N/A,"$3,833.05"
