Network Tariff,Daily supply charge,Peak,Peak 2,Off Peak,Shoulder,CL1,CL2,Capacity Charges,Demand 1,Demand 2
10,146.784,35.057,35.057,,,,,,,
25,146.784,35.057,35.057,,,,,,,
26,146.784,35.057,35.057,,,,,,,
15,149.248,47.168,47.168,26.191,33.275,,,,,
16,149.248,47.168,47.168,26.191,33.275,,,,,
60,,,,,,24.288,,,,
70,,,,,,,24.288,,,
EA010,105.611,40.491,40.491,,,,,,,
EA111,105.611,40.491,40.491,,,,,,,
EA111EA030,105.611,40.491,40.491,,,19.382,,,,
EA251,105.611,40.491,40.491,,,,,,,
EA210,105.611,40.491,40.491,,,,,,,
EA011,105.611,40.491,40.491,40.491,40.491,,,,,
EA116,105.611,40.491,40.491,40.491,40.491,,,,,
EA116EA040,105.611,40.491,40.491,40.491,40.491,19.382,,,,
EA025,125.664,75.482,75.482,23.034,39.49,,,,,
EA030,,,,,,19.382,,,,
EA040,,,,,,,19.382,,,
EA050,231.792,41.305,41.305,,,19.382,,,,
EA050EA030,231.792,41.305,41.305,,,19.382,,,,
EA270,231.792,41.305,41.305,,,,,,,
EA051,231.792,41.305,41.305,41.305,41.305,,,,,
EA256,231.792,41.305,41.305,41.305,41.305,,,,,
EA225,242.088,69.993,69.993,23.364,38.599,,,,,
EA225EA040,242.088,69.993,69.993,23.364,38.599,19.382,,,,
EA225EA030,242.088,69.993,69.993,23.364,38.599,19.382,,,,
EA255,242.088,69.993,69.993,23.364,38.599,,,,,
EA316,242.088,69.993,69.993,23.364,38.599,,,,,
EA302,787.787,42.746,42.746,24.64,38.797,,,45.375,,
EA302EA030,787.787,42.746,42.746,24.64,38.797,19.382,,,,
EA305,787.787,42.746,42.746,24.64,38.797,,,45.375,,
N50,13.673,,,,,22.077,,,,
NC01,13.673,,,,,22.077,,,,
N54,13.673,,,,,,22.077,,,
NC02,13.673,,,,,,22.077,,,
N70,100.32,41.723,41.723,,,,,,,
N72,100.32,41.723,41.723,,,,,,,
NS70,100.32,41.723,41.723,,,,,,,
N73,100.32,41.723,41.723,,,,,,,
N71,121.924,56.672,56.672,30.107,45.419,,,,,
N705,121.924,56.672,56.672,30.107,45.419,,,,,
N706,121.924,56.672,56.672,30.107,45.419,,,,,
N84,134.728,62.337,62.337,26.653,56.837,,,,,
N19,134.728,62.337,62.337,26.653,56.837,,,,,
N91,134.728,62.337,62.337,26.653,56.837,,,,,
BLNC1AU,17.457,,,,,20.306,,,,
BLNN2AU,194.964,44.11,44.11,,,,,,,
BLND1AR,194.964,44.11,44.11,,,,,,,
BLNT3AL,203.258,58.696,58.696,35.266,50.831,,,,,
BLNT3AU,195.239,56.254,56.254,35.321,52.877,,,,,
BLNRSS2,205.425,52.085,52.085,35.486,35.486,,,,,
BLNC2AU,17.457,,,,,,20.306,,,
BLNN1AU,215.512,54.351,54.351,,,,,,,
BLNN1AUBLNC2AU,215.512,54.351,54.351,,,20.306,,,,
BLNT2AL,300.124,55.033,55.033,33.088,49.841,,,,,
BLNT2ALBLNC1AU,300.124,55.033,55.033,33.088,49.841,20.306,,,,
BLND1AB,300.124,55.033,55.033,33.088,49.841,,,,,
BLNT2AU,598.873,55.352,55.352,33.253,51.304,,,,,
BLNT1AO,598.873,55.352,55.352,33.253,51.304,,,,,
BLND3AO,598.873,55.352,55.352,33.253,51.304,,,,,
BLNBSS1,598.873,55.352,55.352,33.253,51.304,,,,,
BLNBSS1BLNC1AU,598.873,55.352,55.352,33.253,51.304,20.306,,,,
9000,3.971,,,,,17.765,,,,
9070,3.971,,,,,17.765,,,,
8400,142.868,35.244,35.244,,,,,,,
8420,142.868,35.244,35.244,,,,,,,
8450,142.868,35.244,35.244,,,,,,,
8470,142.868,35.244,35.244,,,,,,,
3900,142.868,35.244,35.244,,,,,,,
3970,142.868,35.244,35.244,,,,,,,
3950,142.868,35.244,35.244,,,,,,,
